2018-05-21 17:32:33.342 | Error | ERROR EN BANRED
2018-05-21 17:32:35.195 | Error | ERROR EN BANRED
2018-05-21 17:32:35.446 | Error | ERROR EN BANRED
2018-05-21 17:32:37.051 | Error | Error fault Banred
2018-05-21 17:32:37.226 | Error | ERROR EN BANRED
2018-05-21 17:57:39.373 | Error | Se canceló una tarea.
2018-05-21 17:57:40.263 | Error | Se canceló una tarea.
2018-05-21 17:57:40.804 | Error | Se canceló una tarea.
2018-05-21 17:57:41.119 | Error | Se canceló una tarea.
2018-05-21 17:57:41.411 | Error | Se canceló una tarea.
2018-05-21 17:57:41.839 | Error | Se canceló una tarea.
2018-05-21 17:57:41.968 | Error | Se canceló una tarea.
2018-05-21 17:57:42.371 | Error | Se canceló una tarea.
2018-05-21 17:57:42.669 | Error | Se canceló una tarea.
2018-05-21 17:57:44.179 | Error | Se canceló una tarea.
2018-05-21 17:57:46.745 | Error | Se canceló una tarea.
2018-05-21 17:57:48.212 | Error | Se canceló una tarea.
2018-05-21 17:57:49.511 | Error | Se canceló una tarea.
2018-05-21 17:57:50.580 | Error | Se canceló una tarea.
2018-05-21 17:57:52.160 | Error | Se canceló una tarea.
2018-05-21 17:57:53.536 | Error | Se canceló una tarea.
2018-05-21 17:57:53.821 | Error | Se canceló una tarea.
2018-05-21 17:57:54.010 | Error | Se canceló una tarea.
2018-05-21 17:57:54.133 | Error | Se canceló una tarea.
2018-05-21 17:57:54.438 | Error | Se canceló una tarea.
2018-05-21 17:57:54.624 | Error | Se canceló una tarea.
2018-05-21 17:57:54.986 | Error | Se canceló una tarea.
2018-05-21 17:57:55.424 | Error | Se canceló una tarea.
2018-05-21 17:57:56.298 | Error | Se canceló una tarea.
2018-05-21 17:57:58.044 | Error | Se canceló una tarea.
2018-05-21 17:58:00.220 | Error | Se canceló una tarea.
2018-05-21 17:58:01.413 | Error | Se canceló una tarea.
2018-05-21 17:58:02.588 | Error | Se canceló una tarea.
2018-05-21 17:58:03.794 | Error | Se canceló una tarea.
2018-05-21 17:58:05.272 | Error | Se canceló una tarea.
2018-05-21 17:58:09.014 | Error | Se canceló una tarea.
2018-05-21 17:58:09.123 | Error | Se canceló una tarea.
2018-05-21 17:58:09.164 | Error | Se canceló una tarea.
2018-05-21 17:58:09.213 | Error | Se canceló una tarea.
2018-05-21 17:58:09.304 | Error | Se canceló una tarea.
2018-05-21 17:58:09.356 | Error | Se canceló una tarea.
2018-05-21 17:58:09.542 | Error | Se canceló una tarea.
2018-05-21 17:58:09.571 | Error | Se canceló una tarea.
2018-05-21 17:58:09.620 | Error | Se canceló una tarea.
2018-05-21 17:58:09.690 | Error | Se canceló una tarea.
2018-05-21 17:58:09.770 | Error | Se canceló una tarea.
2018-05-21 17:58:09.813 | Error | Se canceló una tarea.
2018-05-21 17:58:09.871 | Error | Se canceló una tarea.
2018-05-21 17:58:09.922 | Error | Se canceló una tarea.
2018-05-21 17:58:09.980 | Error | Se canceló una tarea.
2018-05-21 17:58:10.048 | Error | Se canceló una tarea.
2018-05-21 17:58:10.135 | Error | Se canceló una tarea.
2018-05-21 17:58:10.197 | Error | Se canceló una tarea.
2018-05-21 17:58:10.245 | Error | Se canceló una tarea.
