2018-05-07 10:39:12.301 | Error | No se puede realizar enlace en tiempo de ejecución en una referencia NULL.
2018-05-07 16:29:04.940 | Error | No se puede desactivar una tarjeta configurada para el pago de un servicio. Primero debes migrar los servicios a otra tarjeta.
2018-05-07 16:29:36.553 | Error | No se puede desactivar una tarjeta configurada para el pago de un servicio. Primero debes migrar los servicios a otra tarjeta.
2018-05-07 16:31:16.225 | Error | El conjunto de claves no existe

2018-05-07 16:40:31.526 | Error | No se puede desactivar una tarjeta configurada para el pago de un servicio. Primero debes migrar los servicios a otra tarjeta.
2018-05-18 09:59:03.912 | Error | No se puede desactivar una tarjeta configurada para el pago de un servicio. Primero debes migrar los servicios a otra tarjeta.
2018-05-18 10:04:59.075 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:04:59.080 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:04:59.097 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:05:29.637 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:05:29.640 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:05:29.659 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:04.545 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:06:04.545 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:04.566 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:33.116 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:06:33.116 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:33.140 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:59.235 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:06:59.235 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:06:59.256 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:07:45.129 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:07:45.129 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:07:45.149 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:08:15.477 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:08:15.477 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:08:15.500 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:08:46.675 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
